#,Zone Name,January ,February ,March ,April ,May ,June ,July,August,September,October,November,December,GT by Zone
696,East Beacon between Munson and Maitland,0,0,0,15,43,93,24,,,,,,175
241,West South between Kneeland and Beach,0,0,0,0,0,119,55,,,,,,174
265,West Washington between Stuart and Oak,0,0,0,0,0,133,37,,,,,,170
799,West Raleigh between Bay State and Back,0,0,0,10,38,94,21,,,,,,163
581,North St Cecilia between Cambria and Belvider,0,0,0,41,47,55,18,,,,,,161
484,North Charles between Chestnut and Mt Vernon,0,0,0,0,0,67,89,,,,,,156
486,North Charles between Pinckney and Revere,0,0,0,0,0,78,77,,,,,,155
191,North High between Surface and Batterymarch,0,0,0,0,0,102,50,,,,,,152
186,East High between Pearl and Oliver,0,0,0,0,0,95,55,,,,,,150
213,East Pearl between Franklin and Milk,0,0,0,0,0,87,62,,,,,,149
645,East Tremont between St Alphonsus and Worthin,0,0,0,0,32,70,46,,,,,,148
929,West Stuart at Statler Park Area,0,0,0,0,0,93,55,,,,,,148
240,East Lincoln between Beach and Kneeland,0,0,0,0,0,93,54,,,,,,147
330,North Columbus between Arlington and Berkeley,0,0,0,0,0,96,50,,,,,,146
796,East Deerfield between Back and Bay State,0,0,0,15,36,80,15,,,,,,146
332,East Berkeley between Columbus and Stuart,0,0,0,0,0,103,42,,,,,,145
55,South Bowdoin between Cambridge and Derne,0,0,0,0,0,66,78,,,,,,144
230,North Bedford between Kingston and Chauncy,0,0,0,0,0,90,54,,,,,,144
500,East Beacon between Charles and Spruce,0,0,0,0,0,74,69,,,,,,143
151,South Milk between India and Surface,0,0,0,0,0,96,45,,,,,,141
647,South Huntington between Tremont and Wigglesw,0,0,0,5,21,90,25,,,,,,141
214,East Hudson between Kneeland and Beach,0,0,0,0,0,82,58,,,,,,140
487,North Charles between Revere and Cambridge,0,0,0,0,0,77,63,,,,,,140
280,North Harrison between Oak and Harvard,0,0,0,0,0,77,62,,,,,,139
334,West Berkeley between Stanhope and Columbus,0,0,0,0,0,79,60,,,,,,139
663,West Brookline between Deaconess and Francis,0,0,0,15,29,73,22,,,,,,139
488,South Charles between Cambridge and Revere,0,0,0,0,0,62,75,,,,,,137
220,South Kingston between Essex and Edinboro,0,0,0,0,0,102,33,,,,,,135
318,South Stuart between Church and Arlington,0,0,0,0,0,83,51,,,,,,134
931,West Columbus at Statler Park Area,0,0,0,0,0,77,57,,,,,,134
4,East Atlantic between Rowe's Wharf and East I,0,0,0,0,0,88,44,,,,,,132
122,East Cambridge between Sudbury and NW Chardon,0,0,0,0,0,78,54,,,,,,132
197,South Franklin between Broad and Batterymarch,0,0,0,0,0,91,41,,,,,,132
296,West Warrenton between Charles S and Stuart,0,0,0,0,0,45,87,,,,,,132
3,East Atlantic between Comm. Wf and Battery Wf,16,0,0,0,0,28,86,,,,,,130
497,South Charles between Mt Vernon and Chestnut,0,0,0,0,0,65,65,,,,,,130
236,West Lincoln between Essex and Beach,0,0,0,0,0,84,45,,,,,,129
490,South Charles between Revere and Pinckney,0,0,0,0,0,68,61,,,,,,129
97,North Dorchester between Congress and Summer,0,0,0,0,0,97,31,,,,,,128
308,South Park Plaza between Charles S and Haddas,0,0,0,0,0,81,47,,,,,,128
216,South Beach between Harrison and Washington,0,0,0,0,0,92,35,,,,,,127
483,North Charles between Beacon and Chestnut,0,0,0,0,0,46,80,,,,,,126
605,East Opera between Huntington and St Stephe,0,0,0,112,6,7,1,,,,,,126
433,South Blagden between Huntington and Exeter,0,0,4,9,39,52,19,,,,,,123
174,South Milk between Kilby and Pearl,0,0,0,0,0,96,26,,,,,,122
207,South Franklin between Oliver and Batterymarc,0,0,0,0,0,84,38,,,,,,122
7,East Atlantic between East India and Milk,0,0,0,0,0,81,39,,,,,,120
153,North Milk between Surface and India,0,0,0,0,0,72,48,,,,,,120
268,East Washington between Nassau and Kneeland,0,0,0,0,0,92,28,,,,,,120
939,North Broad between Milk and Central,0,0,0,0,0,81,39,,,,,,120
149,West India between Custom House and Surface,0,0,0,0,0,65,53,,,,,,118
501,East Beacon between Spruce and Walnut,0,0,0,0,0,47,71,,,,,,118
10,North Newbury between Dartmouth and Exeter,0,0,0,46,31,27,13,,,,,,117
481,West Beacon between Brimmer and River,0,0,0,0,0,50,66,,,,,,116
493,South Charles between Pinckney and Mt Vernon,0,0,0,0,0,47,68,,,,,,115
156,North India between State and Central,0,0,0,0,0,84,30,,,,,,114
249,East South between Beach and Kneeland,0,0,0,0,0,75,38,,,,,,113
302,West Shawmut between Marginal and Oak St West,0,0,0,0,0,88,25,,,,,,113
610,East Forsyth between Huntington and Hemenway,0,0,0,113,0,0,0,,,,,,113
514,West Fairfield between Comm and Newbury,0,0,1,23,33,40,15,,,,,,112
110,West First Avenue between Ninth and Seventh,0,0,0,0,0,32,78,,,,,,110
665,North Brookline between Francis and Jimmy Fun,0,0,0,0,31,49,30,,,,,,110
784,North Beacon between Raleigh and Deerfield,0,0,0,6,26,45,33,,,,,,110
169,West Batterymarch between Water and Milk,0,0,0,0,0,74,35,,,,,,109
262,North Stuart between Wash and Tremont,0,0,0,0,0,60,49,,,,,,109
168,East Batterymarch between Milk and Water,0,0,0,0,0,75,33,,,,,,108
788,North Commonwealth between Raleigh and Deerfi,0,0,0,3,32,50,23,,,,,,108
215,East Tyler between Kneeland and Beach,0,0,0,0,0,69,38,,,,,,107
233,West Av De Lafayette between Chauncy and Harr,0,0,0,0,0,81,26,,,,,,107
1,West Atlantic between Commercial and Comm Wf,7,0,0,0,0,19,80,,,,,,106
21,South Boylston between Clarendon and Berkeley,0,0,0,19,27,43,16,,,,,,105
170,South Milk between Batterymarch and Kilby,0,0,0,0,0,70,35,,,,,,105
246,West South between Tufts and Essex,0,0,0,0,0,53,50,,,,,,103
304,North Stuart between Tremont and Charles So,0,0,0,0,0,74,29,,,,,,103
430,West Exeter between Huntington and Blagden,0,0,1,19,24,41,18,,,,,,103
551,South Beacon between Mass and Charlesgate E,0,0,0,16,30,41,16,,,,,,103
682,North Brookline between Kilmarnock and Yawkey,0,0,0,30,23,34,16,,,,,,103
107,East First Avenue between Terry Ring and Eigh,0,0,0,0,0,20,82,,,,,,102
933,East Beverly between Causeway and Valenti,0,0,0,0,0,24,78,,,,,,102
165,East Water between Batterymarch and Broad,0,0,0,0,0,56,45,,,,,,101
264,South Stuart between Tremont and Wash,0,0,0,0,0,63,38,,,,,,101
64,East Cambridge between Lynde and Blossom,0,0,0,0,0,50,49,,,,,,99
934,East Canal between Valenti and Causeway,0,0,0,0,0,21,78,,,,,,99
79,West Cambridge between Lyndell and Grove,0,0,0,0,0,46,50,,,,,,96
148,West India between Milk and Custom House,0,0,0,0,0,59,36,,,,,,95
254,South Federal between High and Franklin,0,0,0,0,0,54,40,,,,,,94
15,North Newbury between Hereford and Mass,0,0,0,65,13,11,3,,,,,,92
204,North Franklin between Oliver and Pearl,0,0,0,0,0,37,55,,,,,,92
200,West Batterymarch at Batterymarch Short A,0,0,0,0,0,57,34,,,,,,91
202,North Franklin between Batterymarch and Olive,0,0,0,0,0,55,36,,,,,,91
255,East Federal between High and Franklin,0,0,0,0,0,54,37,,,,,,91
139,South Milk between Oliver and Batterymarch,0,0,0,0,0,51,39,,,,,,90
208,West Batterymarch between Franklin and High,0,0,0,0,0,49,41,,,,,,90
305,East Charles between Stuart and Boylston,0,0,0,0,0,64,25,,,,,,89
158,East India between Central and Milk,0,0,0,0,0,58,30,,,,,,88
659,East Joslin between Brookline and Pilgrim,0,0,0,11,28,34,15,,,,,,88
199,South Batterymarch Short A between Broad and ,0,0,0,0,0,44,43,,,,,,87
223,West Arch between Summer and Franklin,0,0,0,0,0,45,41,,,,,,86
795,West Deerfield between Bay State and Back,0,0,0,15,29,39,3,,,,,,86
108,East First Avenue between Eight and Ninth,0,0,0,0,0,14,71,,,,,,85
210,North High between Oliver and Pearl,0,0,0,0,0,49,36,,,,,,85
940,North Broad between Central and State,0,0,0,0,0,55,30,,,,,,85
480,West Beacon between Beaver and Brimmer,0,0,0,0,0,18,66,,,,,,84
257,South Surface between Beach and Kneeland,0,0,0,0,0,48,35,,,,,,83
250,East Atlantic between Kneeland and Summer,0,0,0,0,0,46,36,,,,,,82
282,North Harrison between Harvard and Kneeland,0,0,0,0,0,38,44,,,,,,82
140,South Milk between Batterymarch and Broad,0,0,0,0,0,54,27,,,,,,81
648,South Huntington between Smith and Worthingto,0,0,0,0,28,31,22,,,,,,81
205,South Franklin between Pearl and Oliver,0,0,0,0,0,48,32,,,,,,80
60,North Staniford between Cambridge and Merrima,0,0,0,0,0,18,61,,,,,,79
114,South Sixth Street between First and Third,0,0,0,0,0,6,73,,,,,,79
59,North Bowdoin between Ashburton and Cambridge,0,0,0,0,0,34,44,,,,,,78
392,South Marginal between Tremont and Shawmut,0,0,0,0,0,55,23,,,,,,78
938,North Broad between Custom and Milk,0,0,0,0,0,47,30,,,,,,77
278,West Marginal between Wash and Harrison,0,0,0,0,0,60,16,,,,,,76
388,North Marginal between Washington and Shawmut,0,0,0,0,0,62,14,,,,,,76
109,South Ninth Street between Third and First,0,0,0,0,0,12,63,,,,,,75
930,West Church at Statler Park Area,0,0,0,0,0,45,30,,,,,,75
307,South Park Plaza between Charles S and Columb,0,0,0,0,0,44,29,,,,,,73
313,East Church between Columbus Av and Stuart,0,0,0,0,0,45,28,,,,,,73
391,North Marginal between Shawmut and Tremont,0,0,0,0,0,53,20,,,,,,73
39,South Medford between N Washington and Causew,0,0,0,0,0,22,50,,,,,,72
432,North Blagden between Exeter and Huntington,0,0,1,25,24,0,22,,,,,,72
172,West Kilby between Milk and Water,0,0,0,0,0,56,15,,,,,,71
81,East Cambridge between Anderson and Garden,0,0,0,0,0,40,30,,,,,,70
298,West Tremont between Stuart and Tremont,0,0,0,0,0,50,20,,,,,,70
292,West Charles between Fayette and Jefferson,0,0,0,0,0,39,29,,,,,,68
306,East Charles between Boylston and Park Plaza,0,0,0,0,0,47,21,,,,,,68
679,South Brookline between Park Dr and Kilmarnoc,0,0,0,38,11,15,3,,,,,,67
35,East Canal between New Chardon and Valenti,0,0,0,0,0,17,49,,,,,,66
192,West Batterymarch between High and Wendell,0,0,0,0,0,45,21,,,,,,66
201,East Batterymarch between Milk and Franklin,0,0,0,0,0,0,66,,,,,,66
11,West Exeter between Newbury and Boylston,0,0,0,26,13,15,11,,,,,,65
20,East Exeter between Boylston and Huntington,0,0,0,60,3,0,2,,,,,,65
31,West Portland between Valenti and Causeway,0,0,0,0,0,18,47,,,,,,65
222,South Chauncy between Av De Lafayette and Bed,0,0,0,0,0,52,13,,,,,,65
225,West Otis between Devonshire and Summer,0,0,0,0,0,37,28,,,,,,65
8,West Cross between Fulton and North,0,0,0,0,0,10,54,,,,,,64
237,South Beach between Lincoln and Surface,0,0,0,0,0,38,26,,,,,,64
279,North Harrison between Hudson and Oak,0,0,0,0,0,40,24,,,,,,64
937,North Broad between Franklin and Custom,0,0,0,0,0,42,22,,,,,,64
37,West Canal between Valenti and Causeway,0,0,0,0,0,13,50,,,,,,63
70,South Blossom between Charles and Parkman,0,0,0,0,0,15,48,,,,,,63
275,South Harrison between Nassau and Oak,0,0,0,0,0,46,17,,,,,,63
83,East Cambridge between Hancock and Ridgeway,0,0,0,0,0,19,43,,,,,,62
260,North Kneeland between Harrison and Knapp,0,0,0,0,0,36,26,,,,,,62
173,East Kilby between Water and Milk,0,0,0,0,0,41,20,,,,,,61
942,South Broad between Milk and Custom,0,0,0,0,0,36,25,,,,,,61
513,West Fairfield between Comm and Newbury,0,0,1,11,19,22,7,,,,,,60
212,East Pearl between High and Franklin,0,0,0,0,0,38,21,,,,,,59
310,North Boylston between Arlington and Haddassa,0,0,0,0,0,33,26,,,,,,59
580,North St Cecilia between Scotia and Belvidere,0,0,1,20,15,18,5,,,,,,59
673,West Yawkey between Van Ness and Boylston,0,0,0,11,25,17,6,,,,,,59
185,South Pearl between Surface and High,0,0,0,0,0,37,21,,,,,,58
672,East Yawkey between Boylston and Van Ness,0,0,0,4,25,22,7,,,,,,58
125,North New Chardon between Hawkins and Bowker,0,0,0,0,0,34,23,,,,,,57
209,North High between Batterymarch and Oliver,0,0,0,0,0,40,17,,,,,,57
238,North Beach between Surface and Lincoln,0,0,0,0,0,39,18,,,,,,57
74,North N Anderson between Parkman and Cambridg,0,0,0,0,0,7,49,,,,,,56
229,North Bedford between Lincoln and Kingston,0,0,0,0,0,29,27,,,,,,56
286,South Tremont between Marginal and Tremont,0,0,0,0,0,41,14,,,,,,55
649,East Huntington between Worthington and Longw,0,0,0,3,15,21,16,,,,,,55
155,North Central between India and Surface,0,0,0,0,0,37,17,,,,,,54
300,West Shawmut between Tremont and Marginal,0,0,0,0,0,31,22,,,,,,53
309,North Park Plaza between Haddassah and Arling,0,0,0,0,0,29,23,,,,,,52
336,North Columbus between Berkeley and Cahners,0,0,0,0,0,32,20,,,,,,52
251,East Atlantic between East and Essex,0,0,0,0,0,19,32,,,,,,51
502,East Beacon between Walnut and Joy,0,0,0,0,0,13,38,,,,,,51
287,East Charles between Tremont and Warrenton,0,0,0,0,0,29,20,,,,,,49
936,East Portland between Valenti and Causeway,0,0,0,0,0,9,40,,,,,,49
941,South Broad between State and Water,0,0,0,0,0,27,22,,,,,,49
77,East Cambridge between N Grove and Storrow,0,0,0,0,0,25,23,,,,,,48
111,North Seventh Street between First and Third,0,0,0,0,0,11,37,,,,,,48
676,South Boylston between Yawkey and Kilmarnock,0,0,0,7,22,12,7,,,,,,48
71,South Blossom between Parkman and Cambridge,0,0,0,0,0,16,31,,,,,,47
130,West Union between North and Marshall,0,0,0,0,0,31,16,,,,,,47
13,West Gloucester between Newbury and Boylston,0,0,0,6,11,19,10,,,,,,46
72,East Cambridge between Blossom and Anderson,0,0,0,0,0,21,24,,,,,,45
154,West India between Milk and Central,0,0,0,0,0,30,15,,,,,,45
935,West Canal between New Chardon and Valenti,0,0,0,0,0,11,34,,,,,,45
67,North Blossom between O'Connell and Blossom,0,0,0,0,0,15,29,,,,,,44
290,East Charles between Stuart and Melrose,0,0,0,0,0,28,16,,,,,,44
27,South Merrimac between Lancaster and Causeway,0,0,0,0,0,13,30,,,,,,43
26,South Merrimac between Valenti and Lancaster,0,0,0,0,0,3,39,,,,,,42
68,North Blossom between Blossom and Emerson,0,0,0,0,0,5,37,,,,,,42
299,West Tremont between Stuart and Tremont,0,0,0,0,0,34,8,,,,,,42
75,East Cambridge between N Anderson and N Grove,0,0,0,0,0,20,21,,,,,,41
127,South New Chardon between Merrimac and Cambri,0,0,0,0,0,27,13,,,,,,40
134,East Devonshire between Milk and Franklin,0,0,0,0,0,25,15,,,,,,40
131,East Union between Marshall and Hanover,0,0,0,0,0,24,15,,,,,,39
276,South Harrison between Oak and Johnny Ct,0,0,0,0,0,20,19,,,,,,39
62,South Staniford between Lomasney and O'Connel,0,0,0,0,0,11,27,,,,,,38
284,South Kneeland between Harrison and Tyler,0,0,0,0,0,27,11,,,,,,38
943,South Broad between Franklin and Wendell,0,0,0,0,0,17,20,,,,,,37
6,West Atlantic between East India and Milk,0,0,0,0,0,19,17,,,,,,36
66,North Blossom between Cambridge and O'Connell,0,0,0,0,0,9,26,,,,,,35
190,North High between Surface and Batterymarch,0,0,0,0,0,23,12,,,,,,35
63,South Staniford between O'Connell and Cambrid,0,0,0,0,0,10,24,,,,,,34
167,West Milk between Broad and Batterymarch,0,0,0,0,0,26,8,,,,,,34
112,South Seventh Street between First and Third,0,0,0,0,0,6,27,,,,,,33
253,West Atlantic between Essex and Summer,0,0,0,0,0,18,15,,,,,,33
289,South Charles between Stuart and Warrenton,0,0,0,0,0,20,11,,,,,,31
9,North Newbury between Berkeley and Clarendon,0,0,0,0,0,19,11,,,,,,30
245,West South between Beach and Tufts,0,0,0,0,0,22,8,,,,,,30
259,North Kneeland between Tyler and Harrison,0,0,0,0,0,17,13,,,,,,30
333,East Berkeley between Columbus and Stuart,0,0,0,0,0,15,15,,,,,,30
504,South Park between Beacon and Tremont,0,0,0,0,0,13,17,,,,,,30
157,West Central between Broad and India,0,0,0,0,0,20,9,,,,,,29
666,South Boylston between Park and Kilmarnock,0,0,0,24,4,0,0,,,,,,28
187,South Oliver between Surface and High,0,0,0,0,0,15,11,,,,,,26
261,North Kneeland between Knapp and Washington,0,0,0,0,0,22,4,,,,,,26
272,North Nassau between Harrison and Wash,0,0,0,0,0,17,9,,,,,,26
123,North New Chardon between Cambridge and Bulfi,0,0,0,0,0,17,8,,,,,,25
124,North New Chardon between Bulfinch and Hawkin,0,0,0,0,0,15,10,,,,,,25
267,East Washington between Oak and Nassau,0,0,0,0,0,16,8,,,,,,24
295,West Tremont between Church and Marginal,0,0,0,0,0,16,7,,,,,,23
115,North Sixth Street between First and Third,0,0,0,0,0,3,19,,,,,,22
489,South Charles between Cambridge and Revere,0,0,0,0,0,11,10,,,,,,21
100,North Melcher between A St and Summer,20,0,0,0,0,0,,,,,,,20
244,South Beach between Utica and Lincoln,0,0,0,0,0,5,15,,,,,,20
314,East Church between Columbus Av and Stuart,0,0,0,0,0,13,7,,,,,,20
258,North Kneeland between Hudson and Tyler,0,0,0,0,0,10,9,,,,,,19
312,South Columbus between Park Plaza and Church,0,0,0,0,0,11,8,,,,,,19
291,West Charles between Melrose and Fayette,0,0,0,0,0,10,8,,,,,,18
28,South Lancaster between Causeway and Merrimac,0,0,0,0,0,3,14,,,,,,17
482,West Beacon between River and Charles,0,0,0,0,0,7,10,,,,,,17
499,South Charles between Chestnut and Beacon,0,0,0,0,0,12,5,,,,,,17
24,South Boylston between Berkeley and Arlington,0,0,0,,4,9,3,,,,,,16
274,South Nassau between Wash and Harrison,0,0,0,0,0,10,6,,,,,,16
285,South Kneeland between Tyler and Hudson,0,0,0,0,0,8,8,,,,,,16
496,South Charles between Pinckney and Mt Vernon,0,0,0,0,0,4,11,,,,,,15
84,East Cambridge between Temple and Bowdoin,0,0,0,0,0,7,7,,,,,,14
498,South Charles between Chestnut and Beacon,0,0,0,0,0,3,10,,,,,,13
896,South Newbury between Exeter and Fairfield,0,0,0,2,0,10,1,,,,,,13
503,South Park between Beacon and Tremont,0,0,0,0,0,8,4,,,,,,12
113,South Seventh Street between First and Second,0,0,0,0,0,1,10,,,,,,11
69,North Blossom between Emerson and Storrow,0,0,0,0,0,6,4,,,,,,10
277,South Harrison between Johnny and Pine,0,0,0,0,0,6,4,,,,,,10
283,East Kneeland between Harrison and Tyler,0,0,0,0,0,4,6,,,,,,10
674,South Yawkey between Van Ness and Boylston,0,0,0,1,5,2,2,,,,,,10
571,North St between Mass and Symphony,0,0,0,0,2,6,1,,,,,,9
234,South Harrison between Essex and Beach,0,0,0,0,0,8,,,,,,,8
441,North Stanhope between Cahners and Clarendon,0,0,0,0,1,5,2,,,,,,8
494,South Charles between Pinckney and Mt Vernon,0,0,0,0,0,4,3,,,,,,7
658,North Brookline between Pilgrim and Longwood,0,0,0,4,1,2,0,,,,,,7
472,North Beacon between Arlington and Berkeley,0,0,0,0,1,2,3,,,,,,6
560,East Massachusetts between Marlborough and Be,0,0,0,0,1,0,4,,,,,,5
194,North Franklin between Batterymarch and Broad,0,0,0,0,0,4,,,,,,,4
460,West Arlington between Marlborough and Comm,0,0,0,0,0,3,1,,,,,,4
614,West Forsyth between Hemenway and Huntington,0,0,0,0,2,2,,,,,,,4
630,North Evans between Fenway and Tetlow,0,0,0,1,2,1,0,,,,,,4
152,North Milk between India and Surface,0,0,0,0,0,1,2,,,,,,3
607,West Opera between St Stephen and Huntingto,0,0,0,0,0,1,2,,,,,,3
670,South Boylston between Jersey and Park Dr,0,0,0,0,0,3,0,,,,,,3
686,West Beacon between Mountfort and Arundel,0,0,0,0,1,2,0,,,,,,3
786,South Beacon between Raleigh and Deerfield,0,0,0,2,0,1,0,,,,,,3
805,East Silber between Bay State and Back,0,0,0,0,1,1,1,,,,,,3
829,South Beacon between Raleigh and Charles W,0,0,0,0,0,1,2,,,,,,3
898,North Newbury between Fairfield and Glouceste,0,0,0,0,0,1,2,,,,,,3
5,East Atlantic between Rowe's Wharf and East I,0,0,0,0,0,2,,,,,,,2
34,West Friend between New Chardon and Valenti,0,0,0,0,0,2,,,,,,,2
73,South N Anderson between Cambridge and Parkma,0,0,0,0,0,1,1,,,,,,2
311,North Boylston between Haddassah and Charles ,0,0,0,0,0,1,1,,,,,,2
474,South Beacon between Berkeley and Clarendon,0,0,0,1,1,0,,,,,,,2
547,East Hereford between Marlborough and Beacon,0,0,0,0,0,1,1,,,,,,2
564,South Boylston between Hemenway and Mass,0,0,0,0,0,2,0,,,,,,2
611,East Forsyth between Huntington and Hemenway,0,0,0,0,2,0,0,,,,,,2
612,West Forsyth between Hemenway and Huntington,0,0,0,0,1,1,0,,,,,,2
691,West Beacon between Park and St Marys,0,0,0,0,0,2,0,,,,,,2
816,South Comm between Silber and Granby,0,0,0,0,1,1,0,,,,,,2
872,South Commonwealth between Bu Bridge and St M,0,0,0,0,1,1,0,,,,,,2
882,East Hinsdale between Cummington and Comm,0,0,0,0,0,1,1,,,,,,2
925,North Beacon between Charles and Arlington,0,0,0,0,1,1,0,,,,,,2
101,South Summer between Melcher and West Side,1,0,0,0,0,0,,,,,,,1
121,East Cambridge between Court and Sudbury,0,0,0,0,0,1,,,,,,,1
438,West Trinity between Garage and Stuart,0,0,0,0,0,1,,,,,,,1
458,West Arlington between Beacon and Marlborough,0,,,1,0,0,,,,,,,1
557,East Massachusetts between Newbury and Comm,0,0,0,0,1,0,,,,,,,1
559,East Massachusetts between Marlborough and Be,0,0,0,1,0,0,,,,,,,1
573,East Massachusetts between Clearway and St Ge,0,0,0,0,0,1,0,,,,,,1
578,South Hemenway between Burbank and Norway,0,0,0,0,0,1,0,,,,,,1
604,North Huntington between Gainsborough and Ope,0,0,0,0,0,1,0,,,,,,1
616,South Huntington between Forsyth and Gainsbor,0,0,0,0,1,0,,,,,,,1
618,East Gainsborough between Dead End and St Bot,0,0,0,0,1,0,0,,,,,,1
622,East Gainsborough between St Botolph and Hunt,0,0,0,0,0,1,0,,,,,,1
627,North Palace between Longwood and Fenway,0,0,0,0,1,0,0,,,,,,1
633,North Evans between Louis Prang and Tetlow,0,0,0,0,1,0,0,,,,,,1
639,West Museum between Fenway and Tetlow,0,0,0,0,1,0,0,,,,,,1
643,North Hemenway between Forsyth and Forsyth St,0,0,0,0,0,1,0,,,,,,1
698,East Beacon between Maitland and Brookline,0,0,0,0,0,1,0,,,,,,1
703,East Brookline Ave between Overland and Burli,0,0,0,0,0,1,0,,,,,,1
794,North Bay State between Silber and Deerfield,0,0,0,0,1,0,0,,,,,,1
800,West Raleigh between Bay State and Back,0,0,0,0,1,0,0,,,,,,1
820,North Commonwealth between St Mary and Cummin,0,0,0,0,1,0,0,,,,,,1
874,South Commonwealth between St Marys and Cummi,0,0,0,0,1,0,0,,,,,,1
877,South Commonwealth between Hinsdale and Bland,0,0,0,0,0,1,0,,,,,,1
885,West Blandford between Cummington and End,0,0,0,1,0,0,0,,,,,,1
570,North St between Mass and Symphony,0,0,0,0,0,0,,,,,,,0
270,South Kneeland between Monsignor Shea Road and,,,,,,,2,,,,,,
569,South Westland between Henenway and Mass.,,,,,,,1,,,,,,
680,South Brookline between Park Dr and Kilmarnoc,,,,,,,1,,,,,,
881,North Cummington between Blanford and Hinsda,,,,,,,1,,,,,,
